EVENT,MARK,ATHLETE,COUNTRY,VENUE,Latitude,Longitude,DATE
Shot Put,22.63,Natalya LISOVSKAYA,URS,Moskva (URS),55.755826,37.6173,07 JUN 1987
Discus Throw,76.80,Gabriele REINSCH,GDR,Neubrandenburg (GDR),53.5678292,13.2779269,09 JUL 1988
Hammer Throw,82.98,Anita WŁODARCZYK,POL,"Stadion PGE Narodowy, Warszawa (POL)",52.2392703,21.0450811,28 AUG 2016
Javelin Throw,72.28,Barbora ŠPOTÁKOVÁ,CZE,"Gottlieb-Daimler Stadion, Stuttgart (GER)",48.7922577,9.23208,13 SEP 2008
Heptathlon,7291,Jackie JOYNER-KERSEE,USA,"Olympic Stadium, Jamsil, Seoul (KOR)",37.5158376,127.0727986,24 SEP 1988
Decathlon,8358,Austra SKUJYTĖ,LTU,"Columbia, MO (USA)",38.9517053,-92.3340724,15 APR 2005
"10,000 Metres Race Walk",41:56.23,Nadezhda RYASHKINA,URS,"Seattle, WA (USA)",47.6062095,-122.3320708,24 JUL 1990
"20,000 Metres Race Walk",1:26:52.3h,Olimpiada IVANOVA,RUS,Brisbane (AUS),-27.4704528,153.0260341,06 SEP 2001
20 Kilometres Race Walk,1:23:49,Jiayu YANG,CHN,Huangshan (CHN),29.7151699,118.33866,20 MAR 2021
35 Kilometres Race Walk,,,,,,,
35 Kilometres Race Walk,,,,,,,
50 Kilometres Race Walk,3:59:15,Hong LIU,CHN,Huangshan (CHN),29.7151699,118.33866,09 MAR 2019
4x100 Metres Relay,40.82,United States,,,,,
4x200 Metres Relay,1:27.46,United States Blue,,,,,
4x400 Metres Relay,3:15.17,Soviet Union,,,,,
4x800 Metres Relay,7:50.17,Soviet Union,,,,,
4x1500 Metres Relay,16:27.02,Nike/Bowerman Track Club,,,,,
Road Relay,2:11:41,PR of China,,,,,
Distance Medley Relay,10:36.50,United States,,,,,
Distance Medley Relay,10:33.85 *(i),United States,,,,,
50 Metres,5.96 (i),Irina PRIVALOVA,RUS,Madrid (ESP),40.4167754,-3.7037902,09 FEB 1995
60 Metres,6.92 (i),Irina PRIVALOVA,RUS,Madrid (ESP),40.4167754,-3.7037902,11 FEB 1993
60 Metres,6.92 (i),Irina PRIVALOVA,RUS,Madrid (ESP),40.4167754,-3.7037902,09 FEB 1995
200 Metres,21.87 (i),Merlene OTTEY,JAM,Liévin (FRA),50.417921,2.775222,13 FEB 1993
400 Metres,49.26 (i),Femke BOL,NED,"Omnisport, Apeldoorn (NED)",52.2097108,5.9958037,19 FEB 2023
800 Metres,1:55.82 (i),Jolanda ČEPLAK,SLO,"Ferry-Dusika-Halle, Wien (AUT)",48.2081743,16.3738189,03 MAR 2002
1000 Metres,2:30.94 (i),Maria de Lurdes MUTOLA,MOZ,Stockholm (SWE),59.3293235,18.0685808,25 FEB 1999
1500 Metres,3:53.09 (i),Gudaf TSEGAY,ETH,"Arena Stade Couvert, Liévin (FRA)",50.4109912,2.765853,09 FEB 2021
One Mile,4:13.31 (i),Genzebe DIBABA,ETH,"Globe Arena, Stockholm (SWE)",59.2935725,18.0835501,17 FEB 2016
3000 Metres,8:16.60 (i),Genzebe DIBABA,ETH,"Globe Arena, Stockholm (SWE)",59.2935725,18.0835501,06 FEB 2014
5000 Metres,14:18.86 (i),Genzebe DIBABA,ETH,"Globe Arena, Stockholm (SWE)",59.2935725,18.0835501,19 FEB 2015
50 Metres Hurdles,6.58 (i),Cornelia OSCHKENAT,GDR,Berlin (GER),52.5200066,13.404954,20 FEB 1988
60 Metres Hurdles,7.68 (i),Susanna KALLUR,SWE,Karlsruhe (GER),49.0068901,8.4036527,10 FEB 2008
High Jump,2.08 (i),Kajsa BERGQVIST,SWE,Arnstadt (GER),50.8354931,10.9478015,04 FEB 2006
Pole Vault,5.02 (i),Jennifer SUHR,USA,"Albuquerque, NM (USA)",35.0843859,-106.650422,02 MAR 2013
Long Jump,7.37 (i),Heike DRECHSLER,GDR,Wien (AUT),48.2081743,16.3738189,13 FEB 1988
Shot Put,22.50 (i),Helena FIBINGEROVÁ,TCH,Jablonec (TCH),50.7220528,15.1703135,19 FEB 1977
Pentathlon,5013 (i),Nataliya DOBRYNSKA,UKR,"Ataköy Arena, Istanbul (TUR)",40.9808541,28.856793,09 MAR 2012
Pentathlon,5055 *(i),Nafissatou THIAM,BEL,"Ataköy Arena, Istanbul (TUR)",40.9808541,28.856793,03 MAR 2023
